,Full Name,PAN,APP,ALLO,NOT_DIST,NEAR,DIST,TOTAL,MAX_DIST_NS,MAX_DIST_DIST,P1,P2,P3,P4,Year,URN,PTRWM_EXP,PTRWM_HIGH,READPROG,WRITPROG,MATPROG,READ_AVERAGE,GPS_AVERAGE,MAT_AVERAGE,Latitude,Longitude,Easting,Northing,within_500m,within_1km,within_2km,within_3km,within_5km,Grade,P1/plc,PAN_bin
0,Abbots Langley School,60,191,60,27.0,12.0,21.0,60.0,884.42,1951.9,58.0,62.0,39.0,32.0,2019,117083,0.62,0.03,-0.5,0.2,-1.3,106,107,104,51.709592,-0.417656,509427,202391,0,0,4,9,28,2.0,0.9666666666666667,60
1,Bedmond Academy,30,14,9,5.0,1.0,1.0,9.0,232.78,1077.02,6.0,2.0,2.0,4.0,2019,144959,0.44,0.06,0.5,-1,-0.5,102,103,100,51.719667,-0.41328,509705,203518,0,0,1,5,29,4.0,0.2,30
2,Tanners Wood JMI School,60,162,60,22.0,23.0,15.0,60.0,1079.63,2003.29,59.0,40.0,29.0,34.0,2019,117178,0.85,0.15,2.1,3.2,1.6,107,108,106,51.699421,-0.422873,509091,201252,1,1,6,12,27,2.0,0.9833333333333333,60
3,Albury Church of England Voluntary Aided Primary (Bishop's Stortford) **,10,17,4,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,2.0,7.0,2019,117419,0.73,0.27,2.9,-1.5,1.8,110,111,108,51.90238,0.08577,543594,224704,0,0,0,1,4,2.0,0.4,<30
4,Aldbury C of E Primary & Nursery School,15,52,15,5.0,2.0,8.0,15.0,284.01,7089.75,10.0,20.0,11.0,11.0,2019,117382,0.73,0.2,2.3,-0.3,0.8,108,108,106,51.803223,-0.602044,496488,212544,0,0,0,0,8,2.0,0.6666666666666666,<30
5,Ashwell Primary School,30,60,30,22.0,8.0,0.0,30.0,2252.2,0.0,31.0,10.0,9.0,10.0,2019,117084,0.82,0.23,-1.3,-0.7,-0.7,107,108,107,52.039996,-0.153463,526748,239564,0,0,0,0,0,2.0,1.0333333333333334,30
6,Hartsfield JMI School,60,129,56,24.0,22.0,10.0,56.0,1654.58,15571.06,54.0,36.0,33.0,6.0,2019,117376,0.76,0.17,-1.3,-0.3,-1.1,107,106,106,51.990428,-0.184912,524729,233997,0,1,3,5,11,2.0,0.9,60
7,St John's Catholic Primary and Nursery School (Baldock) **,30,87,30,0.0,0.0,0.0,30.0,0.0,0.0,29.0,25.0,27.0,6.0,2019,138316,0.45,0.03,-1.7,-0.7,-4.1,103,103,100,51.983349,-0.181861,524958,233215,0,2,2,5,11,2.0,0.9666666666666667,30
8,St Mary's Church of England (VC) Infant (Baldock),60,135,52,28.0,14.0,10.0,52.0,659.87,3233.46,50.0,46.0,22.0,17.0,2019,117385,0.53,0.03,-1.2,-1.9,-3,105,105,102,51.981225,-0.193424,524170,232959,0,1,4,7,13,2.0,0.8333333333333334,60
9,Bayford (C of E) VC Primary School,15,23,9,2.0,1.0,6.0,9.0,2989.66,6902.33,9.0,4.0,2.0,8.0,2019,117387,0.92,0.33,4.3,0.4,4.1,111,111,110,51.757226,-0.10624,530805,208201,0,0,0,0,10,2.0,0.6,<30
