NAME,AREA_CODE,DESCRIPTIO,FILE_NAME,NUMBER,NUMBER0,POLYGON_ID,UNIT_ID,CODE,HECTARES,AREA,TYPE_CODE,DESCRIPT0,TYPE_COD0,DESCRIPT1,cx,cy
Three Rivers District,DIS,District,HERTFORDSHIRE_COUNTY,179,179,44310,3826,E07000102,8882.417,0,AA,CIVIL ADMINISTRATION AREA,,,-0.46058377363190317,51.66098429994005
Broxbourne District (B),DIS,District,HERTFORDSHIRE_COUNTY,180,180,44103,3623,E07000095,5144.23,0,AA,CIVIL ADMINISTRATION AREA,,,-0.047361706690964483,51.72512627642306
Dacorum District (B),DIS,District,HERTFORDSHIRE_COUNTY,181,181,44140,3923,E07000096,21247.64,0,AA,CIVIL ADMINISTRATION AREA,,,-0.54090924712274,51.778189226463155
East Hertfordshire District,DIS,District,HERTFORDSHIRE_COUNTY,182,182,44009,3679,E07000242,47566.922,0,AA,CIVIL ADMINISTRATION AREA,,,-0.008231342393682145,51.86510536227325
St. Albans District (B),DIS,District,HERTFORDSHIRE_COUNTY,183,183,44271,3876,E07000240,16120.587,0,AA,CIVIL ADMINISTRATION AREA,,,-0.3424908867518329,51.772092108612455
Welwyn Hatfield District (B),DIS,District,HERTFORDSHIRE_COUNTY,184,184,43968,3728,E07000241,12953.69,0,AA,CIVIL ADMINISTRATION AREA,,,-0.19412464821683262,51.766904176968595
North Hertfordshire District,DIS,District,HERTFORDSHIRE_COUNTY,185,185,44204,3897,E07000099,37538.232,0,AA,CIVIL ADMINISTRATION AREA,,,-0.19251891478859534,51.959095814830334
Watford District (B),DIS,District,HERTFORDSHIRE_COUNTY,186,186,126827,3796,E07000103,2143.035,0,AA,CIVIL ADMINISTRATION AREA,,,-0.4033656456014317,51.66807325734202
Stevenage District (B),DIS,District,HERTFORDSHIRE_COUNTY,187,187,43984,3744,E07000243,2596.924,0,AA,CIVIL ADMINISTRATION AREA,,,-0.18936204308267607,51.904352551487776
Hertsmere District (B),DIS,District,HERTFORDSHIRE_COUNTY,291,291,126845,3708,E07000098,10112.816,0,AA,CIVIL ADMINISTRATION AREA,,,-0.28111498094622805,51.67727462384651
