Full Name,Year,URN,PTRWM_EXP,PTRWM_HIGH,READPROG,WRITPROG,MATPROG,READ_AVERAGE,GPS_AVERAGE,MAT_AVERAGE,Grade,%exp_norm,%high_norm,norm_%,READ_norm,WRIT_norm,MAT_norm,READPROG_norm,WRITPROG_norm,MATPROG_norm,appl/plc,weightedPref,log_WP,%exp_norm,%high_norm,READPROG_norm,WRITPROG_norm,MATPROG_norm,READ_norm,WRIT_norm,MAT_norm,pred_WP,resid_WP,pred_log_WP,resid_log_WP,pca_1,pca,pca_2,Latitude,Longitude,Easting,Northing
Abbots Langley School,2019,117083,0.62,0.03,-0.5,0.2,-1.3,106,107,104,2,-0.360683234,-1.102376185,-0.817351631,0.101804655,0.080899997,-0.401842808,-0.356435333,0.150127114,-0.469351351,3.183333333,2.966666667,1.087438988,-0.360683234,-1.102376185,-0.356435333,0.150127114,-0.469351351,0.101804655,0.080899997,-0.401842808,2.501203433,0.465463234,0.835409929,0.252029059,0.846714632,-0.846714632,-0.01868145,51.709592,-0.417656,509427,202391
Abbots Langley School,2018,117083,0.63,0.02,-1.3,-0.2,-2.6,104,105,102,2,-0.294754793,-1.21410041,-0.842935868,-0.581790866,-0.600473254,-1.116961976,-0.714704181,-0.031400349,-1.023884514,3.533333333,3.4,1.223775432,-0.294754793,-1.21410041,-0.714704181,-0.031400349,-1.023884514,-0.581790866,-0.600473254,-1.116961976,2.290047018,1.109952982,0.751576362,0.47219907,2.020000048,-2.020000048,0.131102608,51.709592,-0.417656,509427,202391
Abbots Langley School,2020,117083,0.59,0.16,1.3,0,0.4,106,107,105,2,-0.558468559,0.350038745,-0.116441237,0.101804655,0.080899997,-0.044283224,0.449669575,0.059363383,0.255807401,3.116666667,2.816666667,1.035554153,-0.558468559,0.350038745,0.449669575,0.059363383,0.255807401,0.101804655,0.080899997,-0.044283224,2.691496889,0.125169778,0.91096046,0.124593693,-0.210646268,0.210646268,0.235466343,51.709592,-0.417656,509427,202391
Tanners Wood JMI School,2019,117178,0.85,0.15,2.1,3.2,1.6,107,108,106,2,1.15567092,0.23831452,0.778762816,0.443602416,0.421586623,0.31327636,0.807938424,1.511583094,0.767684167,2.7,2.633333333,0.968250471,1.15567092,0.23831452,0.807938424,1.511583094,0.767684167,0.443602416,0.421586623,0.31327636,2.991146911,-0.357813578,1.029927863,-0.061677392,-1.875644234,1.875644234,1.109227493,51.699421,-0.422873,509091,201252
Tanners Wood JMI School,2018,117178,0.76,0.09,-0.1,1.2,2.2,104,108,107,2,0.562314947,-0.432030833,0.072784421,-0.581790866,0.421586623,0.670835944,-0.177300909,0.603945774,1.02362255,2.35,2.066666667,0.725937003,0.562314947,-0.432030833,-0.177300909,0.603945774,1.02362255,-0.581790866,0.421586623,0.670835944,2.782518519,-0.715851852,0.947097974,-0.221160971,-0.716405712,0.716405712,0.683697533,51.699421,-0.422873,509091,201252
Tanners Wood JMI School,2020,117178,0.68,0.13,0.1,2.5,-1.5,105,107,104,2,0.034887415,0.014866069,0.027795242,-0.239993105,0.080899997,-0.401842808,-0.087733697,1.193910032,-0.554664145,2.7,2.75,1.011600912,0.034887415,0.014866069,-0.087733697,1.193910032,-0.554664145,-0.239993105,0.080899997,-0.401842808,2.62765635,0.12234365,0.885614414,0.125986497,0.144082115,-0.144082115,0.867886836,51.699421,-0.422873,509091,201252
Albury Church of England Voluntary Aided Primary (Bishop's Stortford) **,2019,117419,0.73,0.27,2.9,-1.5,1.8,110,111,108,2,0.364529622,1.579005224,1.085773657,1.468995698,1.4436465,1.028395528,1.166207272,-0.621364607,0.852996962,1.7,1.2,0.182321557,0.364529622,1.579005224,1.166207272,-0.621364607,0.852996962,1.468995698,1.4436465,1.028395528,3.14567407,-1.94567407,1.091278417,-0.90895686,-2.734270584,2.734270584,-1.13990262,51.90238,0.08577,543594,224704
Albury Church of England Voluntary Aided Primary (Bishop's Stortford) **,2018,117419,0.5,0.1,-2.6,-1.2,-2.7,106,110,106,2,-1.151824532,-0.320306607,-0.822419631,0.101804655,1.102959875,0.31327636,-1.29689106,-0.485219009,-1.066540911,1.5,1.2,0.182321557,-1.151824532,-0.320306607,-1.29689106,-0.485219009,-1.066540911,0.101804655,1.102959875,0.31327636,2.492621097,-1.292621097,0.83200256,-0.649681003,0.894402171,-0.894402171,-1.197049812,51.90238,0.08577,543594,224704
Aldbury C of E Primary & Nursery School,2019,117382,0.73,0.2,2.3,-0.3,0.8,108,108,106,2,0.364529622,0.796935647,0.648863279,0.785400177,0.421586623,0.31327636,0.897505636,-0.076782215,0.42643299,3.466666667,2.666666667,0.980829253,0.364529622,0.796935647,0.897505636,-0.076782215,0.42643299,0.785400177,0.421586623,0.31327636,2.910430563,-0.243763896,0.997881764,-0.017052511,-1.427145834,1.427145834,-0.255317102,51.803223,-0.602044,496488,212544
Aldbury C of E Primary & Nursery School,2018,117382,0.6,0,4.6,-2.9,-0.9,111,107,105,2,-0.492540117,-1.437548861,-1.078261999,1.810793459,0.080899997,-0.044283224,1.927528574,-1.256710731,-0.298725762,2.866666667,2.066666667,0.725937003,-0.492540117,-1.437548861,1.927528574,-1.256710731,-0.298725762,1.810793459,0.080899997,-0.044283224,2.706970613,-0.640303946,0.917103856,-0.191166853,-0.296625635,0.296625635,-1.275841002,51.803223,-0.602044,496488,212544
