,School1,School2,Year,Distance,popDiff,perfDiff
1,Aboyne Lodge Junior Mixed and Infant School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,886.8821793225975,-0.13333333333333341,-1.8514907019052087
2,Alban City School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,952.857806810649,-0.28333333333333344,-2.5143064722622905
3,Bedmond Academy,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,5790.55575916509,-0.8,-10.715897503387822
4,Bernards Heath Junior School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,2154.5554065746373,0.15555555555555545,0.3880581091131655
5,Bowmansgreen Primary School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,4027.589353447047,-0.3666666666666668,-2.477433299302972
6,Camp Primary and Nursery School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,2205.000226757358,0.4333333333333331,-2.103727824639184
7,Colney Heath Junior Mixed Infant and Nursery School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,5622.885824912329,-0.30000000000000016,-0.2178765277392254
8,Cunningham Hill Junior School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,1997.47540660705,0.19999999999999996,1.830851683741375
9,Fleetville Junior School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,1988.4438639297816,-0.06666666666666676,-1.5597956733716698
10,Garden Fields Junior Mixed and Infant School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,1913.564736297155,-0.3222222222222223,0.26506796916616515
11,How Wood Primary and Nursery School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,3028.8776799336088,-0.10000000000000009,-4.076809183730653
12,Killigrew Primary and Nursery School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,1939.4071259021403,-0.11666666666666681,1.2284800268420084
13,London Colney Primary & Nursery School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,4016.370625328295,-0.43333333333333346,-2.520539933897828
14,Mandeville Primary School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,1161.2084222911924,0.016666666666666607,-2.421197212043194
15,Maple Primary School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,1177.3572100259123,0.7666666666666666,2.0863925766664204
16,Margaret Wix Primary School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,2624.195114697076,-0.6666666666666667,-1.5976055691854985
17,Mount Pleasant Lane Primary School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,5303.642898989336,-0.2333333333333334,-2.407171329555109
18,Oakwood Primary School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,3018.4560622940994,0.033333333333333215,-0.64978215417363
19,Park Street Church of England Voluntary Aided Primary School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,3077.319937868014,-0.4666666666666668,0.579260728405702
20,Prae Wood Primary School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,1182.983516368677,-0.06666666666666676,-0.31693904845331133
21,St Bernadette Catholic Primary School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,4219.775467960351,0.19999999999999996,-2.519001559692241
22,Samuel Ryder Academy,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,2362.77485173683,0.08333333333333326,-2.99931832505461
23,Sandridge School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,4835.055842490343,-0.5666666666666668,-1.8769757872352786
24,Skyswood Primary & Nursery School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,3544.573317058063,0.6333333333333333,2.8304365558228897
25,St Adrian Roman Catholic Primary School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,1018.9896957280775,0.033333333333333215,2.054794586627193
26,St John Fisher Roman Catholic Primary School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,3344.9617337123605,-0.8,-0.7991549185215847
27,"St Michael's Church of England Voluntary Aided Primary School, St Albans","Abbey Church of England Voluntary Aided Primary School, St Albans",2020,1132.7576969502347,0.1333333333333333,1.9784027345659911
28,St Peter's School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,485.1855315237667,0.7333333333333332,1.4950887383524454
29,Wheatfields Junior Mixed School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,3318.537328402379,-0.13333333333333341,0.10634617303346172
30,Windermere Primary School,"Abbey Church of England Voluntary Aided Primary School, St Albans",2020,2383.982592218324,-0.16666666666666674,-5.077021840731904
31,"Abbey Church of England Voluntary Aided Primary School, St Albans",Aboyne Lodge Junior Mixed and Infant School,2020,886.8821793225975,0.13333333333333341,1.8514907019052087
33,Alban City School,Aboyne Lodge Junior Mixed and Infant School,2020,319.4526568992658,-0.15000000000000002,-0.6628157703570816
34,Bernards Heath Junior School,Aboyne Lodge Junior Mixed and Infant School,2020,1302.3597813200467,0.28888888888888886,2.2395488110183743
35,Bowmansgreen Primary School,Aboyne Lodge Junior Mixed and Infant School,2020,4516.884324398844,-0.2333333333333334,-0.6259425973977635
36,Camp Primary and Nursery School,Aboyne Lodge Junior Mixed and Infant School,2020,2150.291608131325,0.5666666666666665,-0.25223712273397547
37,Colney Heath Junior Mixed Infant and Nursery School,Aboyne Lodge Junior Mixed and Infant School,2020,5559.8846211050095,-0.16666666666666674,1.6336141741659835
38,Cunningham Hill Junior School,Aboyne Lodge Junior Mixed and Infant School,2020,2099.0178655742784,0.33333333333333337,3.682342385646584
39,Fleetville Junior School,Aboyne Lodge Junior Mixed and Infant School,2020,1705.1372378785234,0.06666666666666665,0.2916950285335391
40,Garden Fields Junior Mixed and Infant School,Aboyne Lodge Junior Mixed and Infant School,2020,1036.7960262269528,-0.18888888888888888,2.116558671071374
41,How Wood Primary and Nursery School,Aboyne Lodge Junior Mixed and Infant School,2020,3899.0280840229916,0.033333333333333326,-2.2253184818254437
42,Killigrew Primary and Nursery School,Aboyne Lodge Junior Mixed and Infant School,2020,2820.017730440715,0.016666666666666607,3.079970728747217
43,London Colney Primary & Nursery School,Aboyne Lodge Junior Mixed and Infant School,2020,4398.172461375292,-0.30000000000000004,-0.6690492319926191
44,Mandeville Primary School,Aboyne Lodge Junior Mixed and Infant School,2020,1994.000250752241,0.15000000000000002,-0.5697065101379852
45,Maple Primary School,Aboyne Lodge Junior Mixed and Infant School,2020,462.61214856508036,0.9,3.937883278571629
46,Margaret Wix Primary School,Aboyne Lodge Junior Mixed and Infant School,2020,1779.2762573585924,-0.5333333333333334,0.25388513271971036
47,Oakwood Primary School,Aboyne Lodge Junior Mixed and Infant School,2020,2608.427303951559,0.16666666666666663,1.2017085477315788
48,Park Street Church of England Voluntary Aided Primary School,Aboyne Lodge Junior Mixed and Infant School,2020,3929.6058326503944,-0.33333333333333337,2.430751430310911
49,Prae Wood Primary School,Aboyne Lodge Junior Mixed and Infant School,2020,1769.0477664551627,0.06666666666666665,1.5345516534518975
